company_name,source,disclosure_status,score_or_rating,normalized_score,sector,year_of_disclosure,report_url,funding_type,beauty_alignment,sustainability_keywords,scraped_at,notes
Green Industry Sustainability Foundation Inc,propublica,TRUE,,100,"C30 — Wake Forest, NC",,https://projects.propublica.org/nonprofits/organizations/262092441,grant,0,sustainability,2026-05-15 20:17:41,No filing data available
Sustainable Beauty Foundation,propublica,TRUE,,90,"C01 — Fargo, ND",,https://projects.propublica.org/nonprofits/organizations/831671687,grant,1,sustainable beauty,2026-05-15 20:17:29,No filing data available
Sustainability Foundation,propublica,TRUE,,90,"C03 — Kirkland, WA",,https://projects.propublica.org/nonprofits/organizations/204945821,grant,0,sustainability,2026-05-15 20:17:36,No filing data available
Empowered Sustainability Foundation,propublica,TRUE,,90,"C34 — Carson City, NV",,https://projects.propublica.org/nonprofits/organizations/465250485,grant,0,sustainability,2026-05-15 20:17:37,No filing data available
The Foundation For Sustainability,propublica,TRUE,,90,"C05 — Sunnyvale, CA",2023,https://projects.propublica.org/nonprofits/organizations/300454571,grant,0,sustainability,2026-05-15 20:17:38,Year:2023 totalGrantsAwarded: revenue:48355 | Year:2022 totalGrantsAwarded: revenue:12518 | Year:2021 totalGrantsAwarded: revenue:30579
Brooks Sustainability Foundation Nfp,propublica,TRUE,,90,"C99 — Danville, IL",,https://projects.propublica.org/nonprofits/organizations/994332485,grant,0,sustainability,2026-05-15 20:17:38,No filing data available
Carbonauts Sustainability Foundation Inc,propublica,TRUE,,90,"C99 — New York, NY",,https://projects.propublica.org/nonprofits/organizations/994499263,grant,0,sustainability,2026-05-15 20:17:38,No filing data available
Christiansen Foundation For Advancing Sustainability,propublica,TRUE,,90,"C30 — Spokane, WA",,https://projects.propublica.org/nonprofits/organizations/862478855,grant,0,sustainability,2026-05-15 20:17:41,No filing data available
Accounting For Sustainability Foundation Us Inc,propublica,TRUE,,90,"C50 — El Segundo, CA",2024,https://projects.propublica.org/nonprofits/organizations/922461963,grant,0,sustainability,2026-05-15 20:17:41,Year:2024 totalGrantsAwarded: revenue:0 | Year:2023 totalGrantsAwarded: revenue:0
Friends Of Rye Sustainability Committee Foundation,propublica,TRUE,,90,"C01 — Rye, NY",,https://projects.propublica.org/nonprofits/organizations/993273128,grant,0,sustainability,2026-05-15 20:17:41,No filing data available
Minnesota Chamber Environmental Sustainability Foundation,propublica,TRUE,,60,"L80 — Saint Paul, MN",2023,https://projects.propublica.org/nonprofits/organizations/411834630,grant,0,sustainability,2026-05-15 20:17:39,Year:2023 totalGrantsAwarded: revenue:2849841 | Year:2022 totalGrantsAwarded: revenue:2511981 | Year:2021 totalGrantsAwarded: revenue:2247790
Towards Sustainability Foundation,propublica,TRUE,,50,"T20Z — Saugus, MA",2023,https://projects.propublica.org/nonprofits/organizations/43397681,grant,0,sustainability,2026-05-15 20:17:37,Year:2023 totalGrantsAwarded: revenue:1266290 | Year:2022 totalGrantsAwarded: revenue:1683669 | Year:2021 totalGrantsAwarded: revenue:1879134
Hawaiian Sustainability Foundation,propublica,TRUE,,50,"S31 — Kapaa, HI",,https://projects.propublica.org/nonprofits/organizations/272391592,grant,0,sustainability,2026-05-15 20:17:37,No filing data available
Energy Sustainability Foundation,propublica,TRUE,,50,"W03 — Phoenix, AZ",,https://projects.propublica.org/nonprofits/organizations/852421271,grant,0,sustainability,2026-05-15 20:17:37,No filing data available
International Seafood Sustainability Foundation,propublica,TRUE,,50,"D30 — Pittsburgh, PA",2023,https://projects.propublica.org/nonprofits/organizations/263646127,grant,0,sustainability,2026-05-15 20:17:37,Year:2023 totalGrantsAwarded: revenue:4769692 | Year:2022 totalGrantsAwarded: revenue:4522391 | Year:2021 totalGrantsAwarded: revenue:3881022
Federal Fiscal Sustainability Foundation,propublica,TRUE,,50,"B05 — Alexandria, VA",2022,https://projects.propublica.org/nonprofits/organizations/881466149,grant,0,sustainability,2026-05-15 20:17:38,Year:2022 totalGrantsAwarded: revenue:170515
Nonprofit Financial Sustainability Foundation,propublica,TRUE,,50,"B12 — Las Cruces, NM",2022,https://projects.propublica.org/nonprofits/organizations/852469876,grant,0,sustainability,2026-05-15 20:17:38,Year:2022 totalGrantsAwarded: revenue:1
Sustainability Management Association Foundation,propublica,TRUE,,50,"B90 — Red Bluff, CA",,https://projects.propublica.org/nonprofits/organizations/824036216,grant,0,sustainability,2026-05-15 20:17:39,No filing data available
Foundation For Sustainability And Innovation,propublica,TRUE,,50,"T20Z — Laguna Beach, CA",2023,https://projects.propublica.org/nonprofits/organizations/330785572,grant,0,sustainability,2026-05-15 20:17:39,Year:2023 totalGrantsAwarded: revenue:420970 | Year:2022 totalGrantsAwarded: revenue:93846 | Year:2021 totalGrantsAwarded: revenue:92637
Ayers Family Sustainability Foundation Inc,propublica,TRUE,,50,"T20 — Shavertown, PA",2023,https://projects.propublica.org/nonprofits/organizations/815214144,grant,0,sustainability,2026-05-15 20:17:39,Year:2023 totalGrantsAwarded: revenue:131558 | Year:2022 totalGrantsAwarded: revenue:399037 | Year:2021 totalGrantsAwarded: revenue:786830
Foundation For Wildlife Sustainability Inc,propublica,TRUE,,50,"D30 — Manorville, NY",2023,https://projects.propublica.org/nonprofits/organizations/922604131,grant,0,sustainability,2026-05-15 20:17:39,Year:2023 totalGrantsAwarded: revenue:132438
Foundation For Global Sustainability Inc,propublica,TRUE,,50,"None — Knoxville, TN",2023,https://projects.propublica.org/nonprofits/organizations/611148736,grant,0,sustainability,2026-05-15 20:17:41,Year:2023 totalGrantsAwarded: revenue:980 | Year:2022 totalGrantsAwarded: revenue:193734 | Year:2021 totalGrantsAwarded: revenue:175877
She Foundation   Sustainability Health Education,propublica,TRUE,,50,"S99 — Leander, TX",,https://projects.propublica.org/nonprofits/organizations/833582103,grant,0,sustainability,2026-05-15 20:17:41,No filing data available
Foundation For Community Unity & Sustainability Focus,propublica,TRUE,,50,"S99 — Worcester, MA",,https://projects.propublica.org/nonprofits/organizations/991800981,grant,0,sustainability,2026-05-15 20:17:42,No filing data available
H K Allison Foundation For Sustainability,propublica,TRUE,,50,"B01 — Monterey, CA",2019,https://projects.propublica.org/nonprofits/organizations/465612746,grant,0,sustainability,2026-05-15 20:17:42,Year:2019 totalGrantsAwarded: revenue:14664 | Year:2018 totalGrantsAwarded: revenue:169014 | Year:2014 totalGrantsAwarded: revenue:251677
Fox Turtle Lunar Forest Sustainability Foundation,propublica,TRUE,,50,"K99 — Oklahoma City, OK",,https://projects.propublica.org/nonprofits/organizations/920701821,grant,0,sustainability,2026-05-15 20:17:42,No filing data available